1099,Under the Dome
1100,The Good Mother
1101,Pretty Good for a Girl: The Autobiography of a Snowboarding Pioneer
1102,After the Funeral
1103,The Celery Stalks at Midnight
1104,Billy Bathgate
1105,Star Wars - Episode II: Attack of the Clones
1106,Poems
1107,The Thirteen Problems
1108,Nighty-Nightmare
1109,1776
1110,The Jungle Books
1111,The Thin Man
1112,Hellblazer: Rake at the Gates of Hell
1113,Star Wars - Episode IV: A New Hope
1114,Captain Blood
1115,"I, Claudius"
1116,Onslaught
1117,Goodnight Nobody
1118,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary"
1119,BUtterfield 8
1120,The Woods
1121,"If You're Reading This, It's Too Late"
1122,Team of Rivals: The Political Genius of Abraham Lincoln
1123,Don't Move
1124,Reckless
1125,"X-Men: God Loves, Man Kills"
1126,How to Eat Fried Worms
1127,"Rich Man, Poor Man"
1128,"Dragon Ball Z, Vol. 1: The World's Greatest Team"
1129,The Emperor of All Maladies: A Biography of Cancer
